"性別 コード","性別","時間軸（年次） コード","時間軸（年次）","年齢区分（簡易生命表） コード","年齢区分（簡易生命表）","/表章項目","生存数(lx)【人】","死亡数(ndx)【人】","死亡率(nqx)","平均余命(ex)","定常人口(nLx)","定常人口(Tx)"
"10","男","2017000000","2017年","100000","0週","","100000","72","0.00072","81.09","1917","8109161"
"10","男","2017000000","2017年","100001","1週","","99928","10","0.00010","81.13","1916","8107244"
"10","男","2017000000","2017年","100002","2週","","99918","8","0.00008","81.12","1916","8105328"
"10","男","2017000000","2017年","100003","3週","","99911","6","0.00006","81.11","1916","8103412"
"10","男","2017000000","2017年","100004","4週","","99905","21","0.00021","81.09","8986","8101496"
"10","男","2017000000","2017年","200020","2月","","99884","13","0.00013","81.02","8323","8092510"
"10","男","2017000000","2017年","200030","3月","","99871","30","0.00030","80.95","24964","8084187"
"10","男","2017000000","2017年","200060","6月","","99841","32","0.00032","80.72","49911","8059223"
"10","男","2017000000","2017年","300000","0年","","100000","191","0.00191","81.09","99850","8109161"
"10","男","2017000000","2017年","300100","1年","","99809","31","0.00031","80.25","99794","8009312"
"10","男","2017000000","2017年","300200","2年","","99779","21","0.00021","79.27","99768","7909518"
"10","男","2017000000","2017年","300300","3年","","99758","13","0.00013","78.29","99751","7809750"
"10","男","2017000000","2017年","300400","4年","","99745","10","0.00010","77.30","99740","7709999"
"10","男","2017000000","2017年","300500","5年","","99735","8","0.00008","76.30","99731","7610260"
"10","男","2017000000","2017年","300600","6年","","99727","8","0.00008","75.31","99723","7510529"
"10","男","2017000000","2017年","300700","7年","","99719","8","0.00008","74.32","99715","7410806"
"10","男","2017000000","2017年","300800","8年","","99711","7","0.00007","73.32","99707","7311091"
"10","男","2017000000","2017年","300900","9年","","99704","7","0.00007","72.33","99700","7211384"
"10","男","2017000000","2017年","301000","10年","","99697","7","0.00007","71.33","99693","7111684"
"10","男","2017000000","2017年","301100","11年","","99689","8","0.00008","70.34","99685","7011991"
"10","男","2017000000","2017年","301200","12年","","99681","9","0.00009","69.34","99677","6912305"
"10","男","2017000000","2017年","301300","13年","","99672","11","0.00011","68.35","99667","6812628"
"10","男","2017000000","2017年","301400","14年","","99661","14","0.00014","67.36","99654","6712962"
"10","男","2017000000","2017年","301500","15年","","99647","17","0.00017","66.37","99639","6613308"
"10","男","2017000000","2017年","301600","16年","","99630","21","0.00021","65.38","99620","6513669"
"10","男","2017000000","2017年","301700","17年","","99609","26","0.00026","64.39","99596","6414049"
"10","男","2017000000","2017年","301800","18年","","99582","32","0.00032","63.41","99567","6314453"
"10","男","2017000000","2017年","301900","19年","","99550","37","0.00038","62.43","99532","6214886"
"10","男","2017000000","2017年","302000","20年","","99513","42","0.00042","61.45","99492","6115354"
"10","男","2017000000","2017年","302100","21年","","99471","46","0.00046","60.48","99448","6015862"
"10","男","2017000000","2017年","302200","22年","","99425","49","0.00049","59.51","99401","5916414"
"10","男","2017000000","2017年","302300","23年","","99376","50","0.00051","58.54","99351","5817013"
"10","男","2017000000","2017年","302400","24年","","99326","50","0.00051","57.56","99301","5717662"
"10","男","2017000000","2017年","302500","25年","","99275","50","0.00050","56.59","99250","5618361"
"10","男","2017000000","2017年","302600","26年","","99226","49","0.00050","55.62","99201","5519111"
"10","男","2017000000","2017年","302700","27年","","99177","49","0.00050","54.65","99152","5419910"
"10","男","2017000000","2017年","302800","28年","","99127","50","0.00051","53.68","99102","5320758"
"10","男","2017000000","2017年","302900","29年","","99077","52","0.00053","52.70","99051","5221655"
"10","男","2017000000","2017年","303000","30年","","99025","55","0.00055","51.73","98997","5122604"
"10","男","2017000000","2017年","303100","31年","","98970","58","0.00058","50.76","98941","5023607"
"10","男","2017000000","2017年","303200","32年","","98912","60","0.00061","49.79","98882","4924666"
"10","男","2017000000","2017年","303300","33年","","98852","63","0.00063","48.82","98821","4825783"
"10","男","2017000000","2017年","303400","34年","","98789","65","0.00066","47.85","98757","4726962"
"10","男","2017000000","2017年","303500","35年","","98725","67","0.00068","46.88","98691","4628205"
"10","男","2017000000","2017年","303600","36年","","98657","71","0.00072","45.91","98622","4529514"
"10","男","2017000000","2017年","303700","37年","","98586","76","0.00077","44.94","98549","4430892"
"10","男","2017000000","2017年","303800","38年","","98511","82","0.00083","43.98","98470","4332343"
"10","男","2017000000","2017年","303900","39年","","98429","89","0.00091","43.01","98385","4233872"
"10","男","2017000000","2017年","304000","40年","","98340","97","0.00099","42.05","98292","4135487"
"10","男","2017000000","2017年","304100","41年","","98243","104","0.00106","41.09","98191","4037195"
"10","男","2017000000","2017年","304200","42年","","98139","112","0.00114","40.14","98083","3939004"
"10","男","2017000000","2017年","304300","43年","","98027","122","0.00124","39.18","97967","3840921"
"10","男","2017000000","2017年","304400","44年","","97905","134","0.00137","38.23","97839","3742954"
"10","男","2017000000","2017年","304500","45年","","97771","148","0.00152","37.28","97698","3645115"
"10","男","2017000000","2017年","304600","46年","","97623","165","0.00169","36.34","97542","3547417"
"10","男","2017000000","2017年","304700","47年","","97458","183","0.00188","35.40","97367","3449875"
"10","男","2017000000","2017年","304800","48年","","97274","203","0.00209","34.46","97174","3352508"
"10","男","2017000000","2017年","304900","49年","","97071","224","0.00231","33.54","96960","3255334"
"10","男","2017000000","2017年","305000","50年","","96846","246","0.00254","32.61","96725","3158373"
"10","男","2017000000","2017年","305100","51年","","96600","268","0.00278","31.69","96468","3061649"
"10","男","2017000000","2017年","305200","52年","","96332","294","0.00305","30.78","96187","2965181"
"10","男","2017000000","2017年","305300","53年","","96038","324","0.00337","29.87","95879","2868994"
"10","男","2017000000","2017年","305400","54年","","95714","357","0.00373","28.97","95538","2773115"
"10","男","2017000000","2017年","305500","55年","","95357","391","0.00410","28.08","95164","2677576"
"10","男","2017000000","2017年","305600","56年","","94966","425","0.00447","27.19","94757","2582412"
"10","男","2017000000","2017年","305700","57年","","94541","461","0.00487","26.31","94314","2487656"
"10","男","2017000000","2017年","305800","58年","","94080","502","0.00533","25.44","93833","2393342"
"10","男","2017000000","2017年","305900","59年","","93579","549","0.00587","24.57","93308","2299508"
"10","男","2017000000","2017年","306000","60年","","93030","601","0.00646","23.72","92734","2206200"
"10","男","2017000000","2017年","306100","61年","","92428","659","0.00713","22.87","92104","2113467"
"10","男","2017000000","2017年","306200","62年","","91769","722","0.00787","22.03","91413","2021363"
"10","男","2017000000","2017年","306300","63年","","91047","792","0.00870","21.20","90657","1929950"
"10","男","2017000000","2017年","306400","64年","","90255","872","0.00966","20.38","89826","1839293"
"10","男","2017000000","2017年","306500","65年","","89383","958","0.01072","19.57","88911","1749467"
"10","男","2017000000","2017年","306600","66年","","88424","1052","0.01189","18.78","87907","1660556"
"10","男","2017000000","2017年","306700","67年","","87373","1147","0.01312","18.00","86807","1572650"
"10","男","2017000000","2017年","306800","68年","","86226","1239","0.01437","17.23","85614","1485842"
"10","男","2017000000","2017年","306900","69年","","84987","1331","0.01566","16.48","84330","1400228"
"10","男","2017000000","2017年","307000","70年","","83657","1433","0.01713","15.73","82949","1315898"
"10","男","2017000000","2017年","307100","71年","","82223","1546","0.01880","15.00","81460","1232949"
"10","男","2017000000","2017年","307200","72年","","80678","1663","0.02062","14.27","79856","1151489"
"10","男","2017000000","2017年","307300","73年","","79014","1783","0.02256","13.56","78133","1071633"
"10","男","2017000000","2017年","307400","74年","","77232","1905","0.02467","12.86","76289","993500"
"10","男","2017000000","2017年","307500","75年","","75326","2026","0.02690","12.18","74324","917211"
"10","男","2017000000","2017年","307600","76年","","73300","2167","0.02956","11.50","72229","842887"
"10","男","2017000000","2017年","307700","77年","","71133","2333","0.03280","10.83","69981","770658"
"10","男","2017000000","2017年","307800","78年","","68800","2532","0.03680","10.18","67551","700677"
"10","男","2017000000","2017年","307900","79年","","66268","2750","0.04151","9.55","64911","633125"
"10","男","2017000000","2017年","308000","80年","","63517","2973","0.04681","8.95","62050","568214"
"10","男","2017000000","2017年","308100","81年","","60544","3195","0.05277","8.36","58965","506164"
"10","男","2017000000","2017年","308200","82年","","57349","3414","0.05954","7.80","55660","447199"
"10","男","2017000000","2017年","308300","83年","","53935","3630","0.06730","7.26","52138","391538"
"10","男","2017000000","2017年","308400","84年","","50305","3827","0.07607","6.75","48407","339401"
"10","男","2017000000","2017年","308500","85年","","46479","4000","0.08606","6.26","44492","290994"
"10","男","2017000000","2017年","308600","86年","","42479","4133","0.09729","5.80","40421","246502"
"10","男","2017000000","2017年","308700","87年","","38346","4200","0.10953","5.37","36249","206081"
"10","男","2017000000","2017年","308800","88年","","34146","4194","0.12282","4.97","32045","169832"
"10","男","2017000000","2017年","308900","89年","","29952","4104","0.13703","4.60","27889","137787"
"10","男","2017000000","2017年","309000","90年","","25848","3916","0.15151","4.25","23871","109899"
"10","男","2017000000","2017年","309100","91年","","21932","3681","0.16786","3.92","20069","86028"
"10","男","2017000000","2017年","309200","92年","","18250","3388","0.18564","3.61","16530","65958"
"10","男","2017000000","2017年","309300","93年","","14862","3046","0.20494","3.33","13309","49429"
"10","男","2017000000","2017年","309400","94年","","11816","2669","0.22583","3.06","10450","36120"
"10","男","2017000000","2017年","309500","95年","","9148","2272","0.24839","2.81","7978","25670"
"10","男","2017000000","2017年","309600","96年","","6876","1875","0.27266","2.57","5906","17692"
"10","男","2017000000","2017年","309700","97年","","5001","1494","0.29869","2.36","4223","11786"
"10","男","2017000000","2017年","309800","98年","","3507","1145","0.32651","2.16","2907","7563"
"10","男","2017000000","2017年","309900","99年","","2362","841","0.35610","1.97","1918","4655"
"10","男","2017000000","2017年","310000","100年","","1521","589","0.38743","1.80","1208","2737"
"10","男","2017000000","2017年","310100","101年","","932","392","0.42043","1.64","722","1530"
"10","男","2017000000","2017年","310200","102年","","540","246","0.45500","1.50","407","808"
"10","男","2017000000","2017年","310300","103年","","294","144","0.49096","1.36","215","401"
"10","男","2017000000","2017年","310400","104年","","150","79","0.52812","1.24","106","186"
"10","男","2017000000","2017年","410500","105～年","","71","71","1.00000","1.13","80","80"
"10","男","2016000000","2016年","100000","0週","","100000","69","0.00069","80.98","1917","8097832"
"10","男","2016000000","2016年","100001","1週","","99931","10","0.00010","81.01","1916","8095915"
"10","男","2016000000","2016年","100002","2週","","99921","5","0.00005","81.00","1916","8093998"
"10","男","2016000000","2016年","100003","3週","","99916","5","0.00005","80.99","1916","8092082"
"10","男","2016000000","2016年","100004","4週","","99911","22","0.00022","80.97","8986","8090166"
"10","男","2016000000","2016年","200020","2月","","99889","14","0.00014","80.90","8323","8081180"
"10","男","2016000000","2016年","200030","3月","","99874","32","0.00032","80.83","24964","8072856"
"10","男","2016000000","2016年","200060","6月","","99842","36","0.00036","80.61","49911","8047892"
"10","男","2016000000","2016年","300000","0年","","100000","194","0.00194","80.98","99851","8097832"
"10","男","2016000000","2016年","300100","1年","","99806","31","0.00031","80.14","99789","7997981"
"10","男","2016000000","2016年","300200","2年","","99775","21","0.00021","79.16","99765","7898191"
"10","男","2016000000","2016年","300300","3年","","99754","14","0.00014","78.18","99747","7798426"
"10","男","2016000000","2016年","300400","4年","","99740","10","0.00010","77.19","99735","7698680"
"10","男","2016000000","2016年","300500","5年","","99730","9","0.00009","76.20","99725","7598945"
"10","男","2016000000","2016年","300600","6年","","99721","9","0.00009","75.20","99716","7499219"
"10","男","2016000000","2016年","300700","7年","","99712","8","0.00008","74.21","99707","7399503"
"10","男","2016000000","2016年","300800","8年","","99703","7","0.00007","73.22","99699","7299796"
"10","男","2016000000","2016年","300900","9年","","99696","7","0.00007","72.22","99692","7200096"
"10","男","2016000000","2016年","301000","10年","","99689","7","0.00007","71.23","99686","7100404"
"10","男","2016000000","2016年","301100","11年","","99682","7","0.00007","70.23","99679","7000718"
"10","男","2016000000","2016年","301200","12年","","99675","8","0.00008","69.24","99671","6901039"
"10","男","2016000000","2016年","301300","13年","","99667","10","0.00010","68.24","99663","6801368"
"10","男","2016000000","2016年","301400","14年","","99657","13","0.00013","67.25","99651","6701705"
"10","男","2016000000","2016年","301500","15年","","99644","17","0.00017","66.26","99636","6602054"
"10","男","2016000000","2016年","301600","16年","","99628","21","0.00021","65.27","99618","6502418"
"10","男","2016000000","2016年","301700","17年","","99607","26","0.00026","64.28","99594","6402800"
"10","男","2016000000","2016年","301800","18年","","99581","31","0.00031","63.30","99566","6303206"
"10","男","2016000000","2016年","301900","19年","","99550","38","0.00038","62.32","99532","6203640"
"10","男","2016000000","2016年","302000","20年","","99512","44","0.00045","61.34","99490","6104108"
"10","男","2016000000","2016年","302100","21年","","99468","48","0.00049","60.37","99444","6004618"
"10","男","2016000000","2016年","302200","22年","","99419","50","0.00050","59.40","99394","5905174"
"10","男","2016000000","2016年","302300","23年","","99369","51","0.00051","58.43","99344","5805780"
"10","男","2016000000","2016年","302400","24年","","99319","51","0.00051","57.46","99293","5706436"
"10","男","2016000000","2016年","302500","25年","","99268","51","0.00052","56.49","99242","5607142"
"10","男","2016000000","2016年","302600","26年","","99216","53","0.00053","55.51","99190","5507900"
"10","男","2016000000","2016年","302700","27年","","99164","53","0.00054","54.54","99137","5408710"
"10","男","2016000000","2016年","302800","28年","","99110","54","0.00055","53.57","99083","5309573"
"10","男","2016000000","2016年","302900","29年","","99056","56","0.00056","52.60","99028","5210489"
"10","男","2016000000","2016年","303000","30年","","99000","57","0.00058","51.63","98972","5111461"
"10","男","2016000000","2016年","303100","31年","","98943","58","0.00059","50.66","98914","5012489"
"10","男","2016000000","2016年","303200","32年","","98885","60","0.00061","49.69","98855","4913575"
"10","男","2016000000","2016年","303300","33年","","98825","63","0.00064","48.72","98794","4814719"
"10","男","2016000000","2016年","303400","34年","","98762","66","0.00067","47.75","98729","4715926"
"10","男","2016000000","2016年","303500","35年","","98696","70","0.00071","46.78","98661","4617197"
"10","男","2016000000","2016年","303600","36年","","98626","74","0.00075","45.81","98589","4518535"
"10","男","2016000000","2016年","303700","37年","","98551","79","0.00080","44.85","98512","4419946"
"10","男","2016000000","2016年","303800","38年","","98473","83","0.00085","43.88","98431","4321434"
"10","男","2016000000","2016年","303900","39年","","98389","89","0.00090","42.92","98345","4223003"
"10","男","2016000000","2016年","304000","40年","","98300","97","0.00098","41.96","98253","4124657"
"10","男","2016000000","2016年","304100","41年","","98204","106","0.00108","41.00","98151","4026405"
"10","男","2016000000","2016年","304200","42年","","98098","116","0.00119","40.04","98040","3928253"
"10","男","2016000000","2016年","304300","43年","","97981","127","0.00130","39.09","97918","3830213"
"10","男","2016000000","2016年","304400","44年","","97854","140","0.00143","38.14","97785","3732295"
"10","男","2016000000","2016年","304500","45年","","97714","155","0.00159","37.20","97638","3634510"
"10","男","2016000000","2016年","304600","46年","","97559","171","0.00175","36.25","97475","3536872"
"10","男","2016000000","2016年","304700","47年","","97388","190","0.00195","35.32","97295","3439397"
"10","男","2016000000","2016年","304800","48年","","97198","211","0.00217","34.38","97094","3342103"
"10","男","2016000000","2016年","304900","49年","","96987","233","0.00240","33.46","96872","3245009"
"10","男","2016000000","2016年","305000","50年","","96754","255","0.00264","32.54","96628","3148137"
"10","男","2016000000","2016年","305100","51年","","96499","278","0.00289","31.62","96361","3051509"
"10","男","2016000000","2016年","305200","52年","","96220","302","0.00314","30.71","96071","2955147"
"10","男","2016000000","2016年","305300","53年","","95918","328","0.00342","29.81","95756","2859076"
"10","男","2016000000","2016年","305400","54年","","95590","359","0.00376","28.91","95413","2763320"
"10","男","2016000000","2016年","305500","55年","","95230","395","0.00415","28.02","95036","2667907"
"10","男","2016000000","2016年","305600","56年","","94835","434","0.00457","27.13","94622","2572872"
"10","男","2016000000","2016年","305700","57年","","94402","478","0.00506","26.25","94166","2478250"
"10","男","2016000000","2016年","305800","58年","","93924","525","0.00559","25.38","93665","2384083"
"10","男","2016000000","2016年","305900","59年","","93399","572","0.00613","24.52","93116","2290418"
"10","男","2016000000","2016年","306000","60年","","92826","622","0.00670","23.67","92519","2197302"
"10","男","2016000000","2016年","306100","61年","","92204","678","0.00735","22.83","91870","2104782"
"10","男","2016000000","2016年","306200","62年","","91526","741","0.00809","21.99","91161","2012912"
"10","男","2016000000","2016年","306300","63年","","90785","813","0.00895","21.17","90385","1921751"
"10","男","2016000000","2016年","306400","64年","","89973","890","0.00989","20.35","89534","1831366"
"10","男","2016000000","2016年","306500","65年","","89083","973","0.01092","19.55","88604","1741832"
"10","男","2016000000","2016年","306600","66年","","88110","1062","0.01205","18.76","87587","1653228"
"10","男","2016000000","2016年","306700","67年","","87049","1148","0.01319","17.99","86482","1565641"
"10","男","2016000000","2016年","306800","68年","","85900","1233","0.01435","17.22","85291","1479160"
"10","男","2016000000","2016年","306900","69年","","84668","1323","0.01563","16.46","84014","1393868"
"10","男","2016000000","2016年","307000","70年","","83344","1419","0.01702","15.72","82643","1309855"
"10","男","2016000000","2016年","307100","71年","","81926","1522","0.01858","14.98","81174","1227211"
"10","男","2016000000","2016年","307200","72年","","80404","1633","0.02031","14.25","79597","1146038"
"10","男","2016000000","2016年","307300","73年","","78771","1752","0.02225","13.54","77905","1066441"
"10","男","2016000000","2016年","307400","74年","","77018","1874","0.02433","12.84","76092","988536"
"10","男","2016000000","2016年","307500","75年","","75144","2014","0.02680","12.14","74150","912444"
"10","男","2016000000","2016年","307600","76年","","73130","2176","0.02976","11.46","72056","838295"
"10","男","2016000000","2016年","307700","77年","","70954","2357","0.03321","10.80","69791","766238"
"10","男","2016000000","2016年","307800","78年","","68597","2553","0.03722","10.15","67338","696447"
"10","男","2016000000","2016年","307900","79年","","66044","2762","0.04182","9.53","64681","629109"
"10","男","2016000000","2016年","308000","80年","","63282","2985","0.04718","8.92","61808","564428"
"10","男","2016000000","2016年","308100","81年","","60296","3221","0.05342","8.34","58706","502620"
"10","男","2016000000","2016年","308200","82年","","57075","3459","0.06061","7.78","55365","443914"
"10","男","2016000000","2016年","308300","83年","","53616","3680","0.06864","7.25","51794","388549"
"10","男","2016000000","2016年","308400","84年","","49936","3875","0.07760","6.74","48013","336755"
"10","男","2016000000","2016年","308500","85年","","46061","4031","0.08752","6.27","44056","288742"
"10","男","2016000000","2016年","308600","86年","","42030","4123","0.09811","5.82","39973","244686"
"10","男","2016000000","2016年","308700","87年","","37907","4156","0.10963","5.40","35829","204712"
"10","男","2016000000","2016年","308800","88年","","33751","4123","0.12215","5.00","31684","168883"
"10","男","2016000000","2016年","308900","89年","","29628","4023","0.13580","4.63","27606","137199"
"10","男","2016000000","2016年","309000","90年","","25605","3874","0.15129","4.28","23653","109593"
"10","男","2016000000","2016年","309100","91年","","21731","3643","0.16763","3.95","19888","85940"
"10","男","2016000000","2016年","309200","92年","","18089","3349","0.18517","3.65","16387","66053"
"10","男","2016000000","2016年","309300","93年","","14739","3006","0.20397","3.37","13206","49665"
"10","男","2016000000","2016年","309400","94年","","11733","2629","0.22407","3.11","10386","36460"
"10","男","2016000000","2016年","309500","95年","","9104","2235","0.24552","2.86","7953","26074"
"10","男","2016000000","2016年","309600","96年","","6869","1843","0.26834","2.64","5915","18121"
"10","男","2016000000","2016年","309700","97年","","5026","1470","0.29255","2.43","4261","12206"
"10","男","2016000000","2016年","309800","98年","","3555","1131","0.31817","2.23","2963","7945"
"10","男","2016000000","2016年","309900","99年","","2424","837","0.34518","2.06","1983","4982"
"10","男","2016000000","2016年","310000","100年","","1587","593","0.37355","1.89","1273","2999"
"10","男","2016000000","2016年","310100","101年","","994","401","0.40323","1.74","780","1726"
"10","男","2016000000","2016年","310200","102年","","593","258","0.43414","1.59","455","946"
"10","男","2016000000","2016年","310300","103年","","336","157","0.46618","1.46","251","491"
"10","男","2016000000","2016年","310400","104年","","179","89","0.49920","1.34","130","241"
"10","男","2016000000","2016年","410500","105～年","","90","90","1.00000","1.23","111","111"
"10","男","2015000000","2015年","100000","0週","","100000","69","0.00069","80.79","1917","8078942"
"10","男","2015000000","2015年","100001","1週","","99931","11","0.00011","80.83","1916","8077025"
"10","男","2015000000","2015年","100002","2週","","99920","7","0.00007","80.82","1916","8075109"
"10","男","2015000000","2015年","100003","3週","","99913","6","0.00006","80.80","1916","8073193"
"10","男","2015000000","2015年","100004","4週","","99907","21","0.00021","80.79","8986","8071277"
"10","男","2015000000","2015年","200020","2月","","99885","14","0.00014","80.72","8323","8062291"
"10","男","2015000000","2015年","200030","3月","","99871","38","0.00038","80.64","24963","8053968"
"10","男","2015000000","2015年","200060","6月","","99833","34","0.00034","80.42","49905","8029005"
"10","男","2015000000","2015年","300000","0年","","100000","201","0.00201","80.79","99843","8078942"
"10","男","2015000000","2015年","300100","1年","","99799","32","0.00032","79.95","99783","7979099"
"10","男","2015000000","2015年","300200","2年","","99766","23","0.00023","78.98","99755","7879316"
"10","男","2015000000","2015年","300300","3年","","99743","15","0.00016","78.00","99735","7779561"
"10","男","2015000000","2015年","300400","4年","","99728","11","0.00011","77.01","99722","7679826"
"10","男","2015000000","2015年","300500","5年","","99717","10","0.00010","76.02","99712","7580104"
"10","男","2015000000","2015年","300600","6年","","99707","10","0.00010","75.02","99702","7480392"
"10","男","2015000000","2015年","300700","7年","","99697","10","0.00010","74.03","99692","7380690"
"10","男","2015000000","2015年","300800","8年","","99687","9","0.00009","73.04","99683","7280998"
"10","男","2015000000","2015年","300900","9年","","99679","8","0.00008","72.04","99675","7181315"
"10","男","2015000000","2015年","301000","10年","","99671","7","0.00007","71.05","99667","7081641"
"10","男","2015000000","2015年","301100","11年","","99664","7","0.00007","70.06","99660","6981973"
"10","男","2015000000","2015年","301200","12年","","99656","8","0.00008","69.06","99652","6882313"
"10","男","2015000000","2015年","301300","13年","","99648","11","0.00011","68.07","99643","6782661"
"10","男","2015000000","2015年","301400","14年","","99637","14","0.00014","67.07","99631","6683018"
"10","男","2015000000","2015年","301500","15年","","99624","17","0.00017","66.08","99616","6583387"
"10","男","2015000000","2015年","301600","16年","","99607","22","0.00022","65.09","99596","6483771"
"10","男","2015000000","2015年","301700","17年","","99585","27","0.00027","64.11","99572","6384175"
"10","男","2015000000","2015年","301800","18年","","99558","33","0.00033","63.12","99542","6284603"
"10","男","2015000000","2015年","301900","19年","","99525","39","0.00039","62.15","99507","6185061"
"10","男","2015000000","2015年","302000","20年","","99487","44","0.00044","61.17","99465","6085554"
"10","男","2015000000","2015年","302100","21年","","99443","47","0.00048","60.20","99419","5986089"
"10","男","2015000000","2015年","302200","22年","","99395","50","0.00050","59.22","99371","5886670"
"10","男","2015000000","2015年","302300","23年","","99346","52","0.00052","58.25","99320","5787299"
"10","男","2015000000","2015年","302400","24年","","99294","53","0.00054","57.28","99268","5687979"
"10","男","2015000000","2015年","302500","25年","","99241","54","0.00054","56.31","99214","5588712"
"10","男","2015000000","2015年","302600","26年","","99187","54","0.00054","55.34","99160","5489498"
"10","男","2015000000","2015年","302700","27年","","99133","54","0.00054","54.37","99106","5390338"
"10","男","2015000000","2015年","302800","28年","","99079","54","0.00055","53.40","99052","5291232"
"10","男","2015000000","2015年","302900","29年","","99025","56","0.00056","52.43","98997","5192179"
"10","男","2015000000","2015年","303000","30年","","98969","58","0.00058","51.46","98941","5093182"
"10","男","2015000000","2015年","303100","31年","","98912","59","0.00060","50.49","98882","4994242"
"10","男","2015000000","2015年","303200","32年","","98852","62","0.00062","49.52","98822","4895359"
"10","男","2015000000","2015年","303300","33年","","98791","65","0.00066","48.55","98758","4796538"
"10","男","2015000000","2015年","303400","34年","","98726","70","0.00071","47.58","98691","4697779"
"10","男","2015000000","2015年","303500","35年","","98656","73","0.00074","46.62","98619","4599088"
"10","男","2015000000","2015年","303600","36年","","98582","76","0.00077","45.65","98545","4500469"
"10","男","2015000000","2015年","303700","37年","","98507","79","0.00080","44.69","98468","4401924"
"10","男","2015000000","2015年","303800","38年","","98428","85","0.00086","43.72","98386","4303456"
"10","男","2015000000","2015年","303900","39年","","98343","93","0.00095","42.76","98297","4205070"
"10","男","2015000000","2015年","304000","40年","","98250","103","0.00105","41.80","98199","4106773"
"10","男","2015000000","2015年","304100","41年","","98146","113","0.00116","40.84","98090","4008574"
"10","男","2015000000","2015年","304200","42年","","98033","122","0.00125","39.89","97972","3910483"
"10","男","2015000000","2015年","304300","43年","","97911","131","0.00134","38.94","97846","3812511"
"10","男","2015000000","2015年","304400","44年","","97779","145","0.00148","37.99","97708","3714665"
"10","男","2015000000","2015年","304500","45年","","97634","159","0.00163","37.05","97556","3616957"
"10","男","2015000000","2015年","304600","46年","","97475","176","0.00180","36.11","97389","3519401"
"10","男","2015000000","2015年","304700","47年","","97299","195","0.00200","35.17","97204","3422013"
"10","男","2015000000","2015年","304800","48年","","97105","215","0.00222","34.24","96999","3324809"
"10","男","2015000000","2015年","304900","49年","","96889","237","0.00245","33.31","96773","3227810"
"10","男","2015000000","2015年","305000","50年","","96652","259","0.00268","32.39","96525","3131038"
"10","男","2015000000","2015年","305100","51年","","96393","285","0.00295","31.48","96253","3034513"
"10","男","2015000000","2015年","305200","52年","","96109","311","0.00324","30.57","95955","2938260"
"10","男","2015000000","2015年","305300","53年","","95797","341","0.00356","29.67","95629","2842305"
"10","男","2015000000","2015年","305400","54年","","95457","374","0.00392","28.77","95272","2746675"
"10","男","2015000000","2015年","305500","55年","","95082","412","0.00433","27.89","94880","2651403"
"10","男","2015000000","2015年","305600","56年","","94670","451","0.00477","27.00","94448","2556523"
"10","男","2015000000","2015年","305700","57年","","94219","490","0.00520","26.13","93977","2462075"
"10","男","2015000000","2015年","305800","58年","","93729","528","0.00564","25.27","93468","2368098"
"10","男","2015000000","2015年","305900","59年","","93200","572","0.00613","24.41","92919","2274630"
"10","男","2015000000","2015年","306000","60年","","92629","625","0.00675","23.55","92321","2181712"
"10","男","2015000000","2015年","306100","61年","","92004","692","0.00752","22.71","91664","2089391"
"10","男","2015000000","2015年","306200","62年","","91312","767","0.00840","21.88","90934","1997727"
"10","男","2015000000","2015年","306300","63年","","90544","842","0.00930","21.06","90130","1906793"
"10","男","2015000000","2015年","306400","64年","","89703","919","0.01024","20.25","89250","1816663"
"10","男","2015000000","2015年","306500","65年","","88784","1002","0.01129","19.46","88290","1727413"
"10","男","2015000000","2015年","306600","66年","","87782","1084","0.01235","18.67","87246","1639123"
"10","男","2015000000","2015年","306700","67年","","86698","1166","0.01345","17.90","86122","1551876"
"10","男","2015000000","2015年","306800","68年","","85532","1254","0.01467","17.14","84912","1465755"
"10","男","2015000000","2015年","306900","69年","","84277","1349","0.01600","16.38","83611","1380843"
"10","男","2015000000","2015年","307000","70年","","82928","1452","0.01751","15.64","82211","1297232"
"10","男","2015000000","2015年","307100","71年","","81476","1562","0.01917","14.91","80705","1215021"
"10","男","2015000000","2015年","307200","72年","","79915","1668","0.02088","14.19","79089","1134316"
"10","男","2015000000","2015年","307300","73年","","78246","1764","0.02254","13.49","77373","1055227"
"10","男","2015000000","2015年","307400","74年","","76483","1875","0.02452","12.79","75555","977855"
"10","男","2015000000","2015年","307500","75年","","74607","2015","0.02701","12.09","73612","902299"
"10","男","2015000000","2015年","307600","76年","","72592","2182","0.03005","11.42","71516","828687"
"10","男","2015000000","2015年","307700","77年","","70410","2375","0.03373","10.75","69240","757171"
"10","男","2015000000","2015年","307800","78年","","68035","2586","0.03800","10.11","66761","687931"
"10","男","2015000000","2015年","307900","79年","","65450","2806","0.04287","9.49","64066","621170"
"10","男","2015000000","2015年","308000","80年","","62644","3038","0.04850","8.89","61144","557105"
"10","男","2015000000","2015年","308100","81年","","59606","3280","0.05503","8.32","57985","495960"
"10","男","2015000000","2015年","308200","82年","","56325","3506","0.06225","7.78","54590","437975"
"10","男","2015000000","2015年","308300","83年","","52819","3709","0.07023","7.26","50980","383385"
"10","男","2015000000","2015年","308400","84年","","49110","3887","0.07915","6.77","47179","332405"
"10","男","2015000000","2015年","308500","85年","","45223","4024","0.08898","6.31","43219","285225"
