"表章項目 コード","表章項目","男女別 コード","男女別","全国・都道府県 コード","全国・都道府県","/人口及び人口増減","人口","注釈","自然増減","注釈","社会増減","注釈","国籍の異動による純増減","注釈","増減の計","注釈","人口","注釈","自然増減","注釈","社会増減","注釈","国籍の異動による純増減","注釈","増減の計","注釈","人口","注釈","自然増減","注釈","社会増減","注釈","国籍の異動による純増減","注釈","増減の計","注釈","人口","注釈","自然増減","注釈","社会増減","注釈","国籍の異動による純増減","注釈","増減の計","注釈","人口","注釈","自然増減","注釈","社会増減","注釈","国籍の異動による純増減","注釈","増減の計","注釈","人口","注釈","自然増減","注釈","社会増減","注釈","国籍の異動による純増減","注釈","増減の計","注釈"
"008","人口【人】","002","女","26000","京都府","","1359430","","***","","***","","***","","***","","***","","-4137","","1454","","***","","-2683","","1356747","","***","","***","","***","","***","","1334879","","***","","***","","***","","***","","***","","-4066","","164","","311","","-3591","","1331288","","***","","***","","***","","***",""
"008","人口【人】","002","女","27000","大阪府","","4583441","","***","","***","","***","","***","","***","","-7847","","6940","","***","","-907","","4582534","","***","","***","","***","","***","","4498440","","***","","***","","***","","***","","***","","-7705","","2806","","1249","","-3650","","4494790","","***","","***","","***","","***",""
"008","人口【人】","002","女","28000","兵庫県","","2886882","","***","","***","","***","","***","","***","","-7161","","-332","","***","","-7493","","2879389","","***","","***","","***","","***","","2843680","","***","","***","","***","","***","","***","","-7064","","-2613","","421","","-9256","","2834424","","***","","***","","***","","***",""
"008","人口【人】","002","女","29000","奈良県","","716701","","***","","***","","***","","***","","***","","-2665","","-1620","","***","","-4285","","712416","","***","","***","","***","","***","","711732","","***","","***","","***","","***","","***","","-2656","","-1626","","40","","-4242","","707490","","***","","***","","***","","***",""
"008","人口【人】","002","女","30000","和歌山県","","505293","","***","","***","","***","","***","","***","","-3273","","-1470","","***","","-4743","","500550","","***","","***","","***","","***","","502140","","***","","***","","***","","***","","***","","-3259","","-1772","","15","","-5016","","497124","","***","","***","","***","","***",""
"008","人口【人】","002","女","31000","鳥取県","","297668","","***","","***","","***","","***","","***","","-1712","","-858","","***","","-2570","","295098","","***","","***","","***","","***","","295281","","***","","***","","***","","***","","***","","-1707","","-977","","8","","-2676","","292605","","***","","***","","***","","***",""
"008","人口【人】","002","女","32000","島根県","","358426","","***","","***","","***","","***","","***","","-2585","","-576","","***","","-3161","","355265","","***","","***","","***","","***","","355049","","***","","***","","***","","***","","***","","-2597","","-1032","","11","","-3618","","351431","","***","","***","","***","","***",""
"008","人口【人】","002","女","33000","岡山県","","995583","","***","","***","","***","","***","","***","","-3481","","-718","","***","","-4199","","991384","","***","","***","","***","","***","","985022","","***","","***","","***","","***","","***","","-3494","","-1103","","57","","-4540","","980482","","***","","***","","***","","***",""
"008","人口【人】","002","女","34000","広島県","","1462192","","***","","***","","***","","***","","***","","-4401","","-1152","","***","","-5553","","1456639","","***","","***","","***","","***","","1443226","","***","","***","","***","","***","","***","","-4465","","-1213","","138","","-5540","","1437686","","***","","***","","***","","***",""
"008","人口【人】","002","女","35000","山口県","","733908","","***","","***","","***","","***","","***","","-4766","","-1654","","***","","-6420","","727488","","***","","***","","***","","***","","726842","","***","","***","","***","","***","","***","","-4750","","-2310","","36","","-7024","","719818","","***","","***","","***","","***",""
"008","人口【人】","002","女","36000","徳島県","","392804","","***","","***","","***","","***","","***","","-2625","","-1037","","***","","-3662","","389142","","***","","***","","***","","***","","389951","","***","","***","","***","","***","","***","","-2633","","-1118","","8","","-3743","","386208","","***","","***","","***","","***",""
"008","人口【人】","002","女","37000","香川県","","501508","","***","","***","","***","","***","","***","","-2261","","-450","","***","","-2711","","498797","","***","","***","","***","","***","","497487","","***","","***","","***","","***","","***","","-2285","","-790","","17","","-3058","","494429","","***","","***","","***","","***",""
"008","人口【人】","002","女","38000","愛媛県","","725273","","***","","***","","***","","***","","***","","-4328","","-1571","","***","","-5899","","719374","","***","","***","","***","","***","","720791","","***","","***","","***","","***","","***","","-4333","","-2010","","12","","-6331","","714460","","***","","***","","***","","***",""
"008","人口【人】","002","女","39000","高知県","","381660","","***","","***","","***","","***","","***","","-3015","","-1146","","***","","-4161","","377499","","***","","***","","***","","***","","380093","","***","","***","","***","","***","","***","","-3014","","-1316","","4","","-4326","","375767","","***","","***","","***","","***",""
"008","人口【人】","002","女","40000","福岡県","","2691832","","***","","***","","***","","***","","***","","-4935","","4849","","***","","-86","","2691746","","***","","***","","***","","***","","2666509","","***","","***","","***","","***","","***","","-5055","","3153","","201","","-1701","","2664808","","***","","***","","***","","***",""
"008","人口【人】","002","女","41000","佐賀県","","437192","","***","","***","","***","","***","","***","","-1950","","-838","","***","","-2788","","434404","","***","","***","","***","","***","","434554","","***","","***","","***","","***","","***","","-1950","","-1167","","2","","-3115","","431439","","***","","***","","***","","***",""
"008","人口【人】","002","女","42000","長崎県","","724833","","***","","***","","***","","***","","***","","-3741","","-3119","","***","","-6860","","717973","","***","","***","","***","","***","","721018","","***","","***","","***","","***","","***","","-3769","","-3384","","7","","-7146","","713872","","***","","***","","***","","***",""
"008","人口【人】","002","女","43000","熊本県","","938274","","***","","***","","***","","***","","***","","-4152","","-1430","","***","","-5582","","932692","","***","","***","","***","","***","","932605","","***","","***","","***","","***","","***","","-4167","","-2671","","13","","-6825","","925780","","***","","***","","***","","***",""
"008","人口【人】","002","女","44000","大分県","","610764","","***","","***","","***","","***","","***","","-3168","","-933","","***","","-4101","","606663","","***","","***","","***","","***","","605517","","***","","***","","***","","***","","***","","-3162","","-1567","","15","","-4714","","600803","","***","","***","","***","","***",""
"008","人口【人】","002","女","45000","宮崎県","","580619","","***","","***","","***","","***","","***","","-2678","","-1326","","***","","-4004","","576615","","***","","***","","***","","***","","577767","","***","","***","","***","","***","","***","","-2680","","-1932","","9","","-4603","","573164","","***","","***","","***","","***",""
